"Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO , SPOL"

" ";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" "
" ";" ";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"0-4 let";82;93;126;125;167;142;180;164;169;153;345;293;464;387;410;390;753;689;557;503;515;498;484;426;512;476;452;391;453;394;471;398;419;377
" ";"5-9 let";71;82;88;99;104;113;109;121;118;112;179;146;190;176;276;247;363;324;403;349;285;225;267;262;332;288;314;288;343;297;430;374;381;365
" ";"10-14 let";81;65;79;89;90;103;94;100;109;98;175;147;198;166;262;262;346;283;349;326;232;204;248;212;271;240;272;231;291;248;415;321;367;321
" ";"15-19 let";178;129;199;158;290;170;313;181;453;201;654;305;900;316;1100;403;809;444;762;428;329;353;350;301;393;345;406;342;463;376;537;414;580;467
" ";"20-24 let";758;288;929;500;1034;547;1089;536;1270;477;2030;658;3140;647;4535;832;4134;880;3946;1173;1261;814;876;744;930;864;854;745;813;749;874;776;1111;827
" ";"25-29 let";777;289;900;423;1040;470;1050;470;1226;443;1880;610;2723;591;4246;846;4348;1014;4402;1148;1644;851;1168;889;1332;908;1212;838;1047;824;1251;879;1367;869
" ";"30-34 let";578;210;700;288;826;327;875;326;1055;265;1524;448;2098;477;3457;668;3354;842;3408;932;1264;655;1074;695;1236;707;1089;623;1083;687;1195;803;1375;738
" ";"35-39 let";618;152;653;171;737;226;742;246;928;219;1317;291;1864;368;2915;500;2940;611;2700;694;1096;493;869;558;1025;582;953;510;938;546;1083;629;1309;623
" ";"40-44 let";451;106;591;160;689;179;668;223;822;186;1105;261;1594;294;2518;373;2578;478;2456;498;1011;374;836;375;851;430;773;384;775;394;800;515;1039;482
" ";"45-49 let";379;101;434;126;493;158;442;162;572;123;830;162;1254;217;1897;288;1907;369;1861;369;790;281;683;291;712;263;759;291;681;290;742;321;893;349
" ";"50-54 let";162;77;278;100;302;136;237;155;346;106;512;181;695;180;1136;185;1117;218;1102;258;563;210;507;252;565;210;542;203;534;207;549;234;621;246
" ";"55-59 let";94;51;140;61;177;86;176;100;141;81;244;129;292;152;419;176;523;196;483;191;314;188;351;210;367;147;329;146;322;159;357;155;386;138
" ";"60-64 let";86;44;100;73;123;86;116;83;132;87;145;93;138;96;218;131;274;159;229;160;230;136;255;233;248;197;220;159;193;153;203;137;215;130
" ";"65-69 let";44;39;43;38;69;56;69;61;76;60;90;59;87;82;152;81;189;125;154;98;151;89;169;116;175;96;144;90;139;118;150;103;173;118
" ";"70-74 let";23;23;33;35;33;45;38;48;36;37;53;49;58;51;57;74;84;104;75;78;74;73;95;69;84;65;80;53;77;66;71;55;89;54
" ";"75-79 let";10;16;21;22;27;42;16;37;25;16;31;42;32;39;32;39;55;62;41;49;48;49;53;61;33;37;34;54;61;46;45;39;66;39
" ";"80-84 let";3;14;5;7;10;17;11;19;5;15;12;20;18;18;16;22;32;43;25;37;20;41;19;40;24;34;21;29;22;21;25;25;13;36
" ";"85 + let";2;9;2;7;5;15;4;18;2;7;4;17;5;9;13;17;9;37;20;32;14;41;13;32;12;31;11;29;7;29;17;27;13;27
"Odseljeni v tujino"
" ";"0-4 let";44;31;39;49;90;62;87;70;97;84;81;61;136;126;181;167;108;94;169;141;278;275;227;225;265;253;312;300;389;337;418;347;412;370
" ";"5-9 let";61;49;57;42;81;71;69;65;69;69;58;64;111;97;138;142;139;146;195;171;185;160;182;137;240;227;259;257;315;302;338;332;359;328
" ";"10-14 let";80;48;64;38;61;76;62;52;38;56;53;69;95;98;149;154;168;136;173;151;175;113;126;121;197;184;198;181;246;212;275;233;270;278
" ";"15-19 let";159;67;120;85;153;137;136;91;278;106;298;132;374;153;350;226;201;185;294;171;227;177;148;158;266;213;222;190;231;195;256;206;294;231
" ";"20-24 let";219;133;589;211;745;445;452;394;1052;305;1274;234;2256;407;1899;600;881;334;2358;509;1549;488;837;386;656;436;612;484;642;597;646;631;699;726
" ";"25-29 let";333;190;698;203;856;418;550;420;1160;399;1257;303;2001;439;1858;679;1148;511;2779;615;2029;634;1159;532;1129;692;1057;777;1214;939;1248;1055;1344;1152
" ";"30-34 let";302;157;559;140;735;327;622;334;959;300;968;257;1517;397;1447;539;1000;509;2168;540;1636;550;1107;522;1179;720;1072;759;1181;829;1261;860;1351;903
" ";"35-39 let";304;110;424;109;544;267;450;261;753;199;757;187;1212;276;1193;407;1078;408;1791;383;1382;418;906;399;1002;674;967;591;1001;574;1051;618;1065;633
" ";"40-44 let";201;73;350;94;468;201;366;148;521;141;707;153;1000;246;1015;330;984;257;1654;283;1229;305;863;269;861;481;750;432;812;428;888;435;893;454
" ";"45-49 let";186;85;194;89;267;148;263;207;446;103;540;101;815;170;924;219;825;224;1330;207;967;255;747;222;844;379;634;334;715;312;717;316;728;333
" ";"50-54 let";137;62;140;66;215;181;118;121;273;142;270;123;553;187;643;195;567;206;861;175;730;225;578;203;586;289;524;276;520;257;569;192;641;238
" ";"55-59 let";104;53;92;60;133;112;85;92;126;104;170;94;322;170;399;195;399;314;443;154;442;209;458;168;480;302;462;235;439;183;434;148;396;152
" ";"60-64 let";122;44;92;41;122;80;58;67;114;77;102;62;167;99;221;131;307;220;226;148;353;156;378;184;447;338;385;286;414;191;356;168;383;141
" ";"65-69 let";52;29;48;28;66;70;72;39;89;40;59;35;93;72;146;111;195;151;160;90;183;115;218;101;281;167;191;141;212;122;238;137;249;110
" ";"70-74 let";36;25;13;25;26;37;29;29;43;26;32;32;36;33;64;65;104;115;98;82;100;84;100;94;133;127;143;96;145;99;132;86;110;57
" ";"75-79 let";21;18;13;15;17;18;17;14;27;25;18;21;15;31;39;46;57;57;54;61;56;68;57;59;74;85;62;61;67;64;87;64;76;45
" ";"80-84 let";10;13;9;8;11;14;7;11;10;25;9;12;13;10;24;30;15;33;29;50;35;54;34;44;42;61;34;42;38;48;34;57;36;46
" ";"85 + let";5;7;2;5;6;9;1;8;6;7;6;6;9;13;6;11;14;19;34;41;30;65;26;49;17;51;18;40;28;38;28;52;22;47

"Vir: Statistièni urad Republike Slovenije. "
" "
"Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo "
"prebivalstva Slovenije, objavljeno leta 2008. "
" "

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9518 target=_blank) Metodološka pojasnila "

"Starost je èas, ki je pretekel od rojstva osebe do opazovanega "
"dogodka (selitve). Prikazana je v dopolnjenih letih starosti."

