vrsta;starostna skupina;leto;spol;vrednost
Priseljeni iz tujine; ;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine; SKUPAJ;;;
Priseljeni iz tujine; SKUPAJ;2000;;
Priseljeni iz tujine; SKUPAJ;2000;Moški;4397
;;2000;Ženske;1788
;;;;
;;2001;Moški;5321
;;2001;Ženske;2482
;;;;
;;;;
;;2000;;
;;;Moški;4397
;;;Ženske;1788
;;2001;;
;;;Moški;5321
;;;Ženske;2482
;;;;
;;2002;;
;; ;Moški;6216
;; ;Ženske;2918
;;2003;;
 ; ; ;Moški;6229
 ; ; ;Ženske;3050
 ; ;2004;;
 ; ; ;Moški;7485
 ; ; ;Ženske;2686
 ; ;2005;;
 ; ; ;Moški;11130
 ; ; ;Ženske;3911
 ; ;2006;;
 ; ; ;Moški;15750
 ; ; ;Ženske;4266
 ; ;2007;;
 ; ; ;Moški;23659
 ; ; ;Ženske;5534
 ; ;2008;;
 ; ; ;Moški;23815
 ; ; ;Ženske;6878
 ; ;2009;;
 ; ; ;Moški;22973
 ; ; ;Ženske;7323
 ; ;2010;;
 ; ; ;Moški;9841
 ; ; ;Ženske;5575
 ; ;2011;;
 ; ; ;Moški;8317
 ; ; ;Ženske;5766
 ; ;2012;;
 ; ; ;Moški;9102
 ; ; ;Ženske;5920
 ; ;2013;;
 ; ; ;Moški;8465
 ; ; ;Ženske;5406
 ; ;2014;;
 ; ; ;Moški;8242
 ; ; ;Ženske;5604
 ; ;2015;;
 ; ; ;Moški;9215
 ; ; ;Ženske;6205
 ;0-4 let;;;
 ; ;2000;;
 ; ; ;Moški;82
 ; ; ;Ženske;93
 ; ;2001;;
 ; ; ;Moški;126
 ; ; ;Ženske;125
 ; ;2002;;
 ; ; ;Moški;167
 ; ; ;Ženske;142
 ; ;2003;;
 ; ; ;Moški;180
 ; ; ;Ženske;164
 ; ;2004;;
 ; ; ;Moški;169
 ; ; ;Ženske;153
 ; ;2005;;
 ; ; ;Moški;345
 ; ; ;Ženske;293
 ; ;2006;;
 ; ; ;Moški;464
 ; ; ;Ženske;387
 ; ;2007;;
 ; ; ;Moški;410
 ; ; ;Ženske;390
 ; ;2008;;
 ; ; ;Moški;753
 ; ; ;Ženske;689
 ; ;2009;;
 ; ; ;Moški;557
 ; ; ;Ženske;503
 ; ;2010;;
 ; ; ;Moški;515
 ; ; ;Ženske;498
 ; ;2011;;
 ; ; ;Moški;484
 ; ; ;Ženske;426
 ; ;2012;;
 ; ; ;Moški;512
 ; ; ;Ženske;476
 ; ;2013;;
 ; ; ;Moški;452
 ; ; ;Ženske;391
 ; ;2014;;
 ; ; ;Moški;453
 ; ; ;Ženske;394
 ; ;2015;;
 ; ; ;Moški;471
 ; ; ;Ženske;398
 ;5-9 let;;;
 ; ;2000;;
 ; ; ;Moški;71
 ; ; ;Ženske;82
 ; ;2001;;
 ; ; ;Moški;88
 ; ; ;Ženske;99
 ; ;2002;;
 ; ; ;Moški;104
 ; ; ;Ženske;113
 ; ;2003;;
 ; ; ;Moški;109
 ; ; ;Ženske;121
 ; ;2004;;
 ; ; ;Moški;118
 ; ; ;Ženske;112
 ; ;2005;;
 ; ; ;Moški;179
 ; ; ;Ženske;146
 ; ;2006;;
 ; ; ;Moški;190
 ; ; ;Ženske;176
 ; ;2007;;
 ; ; ;Moški;276
 ; ; ;Ženske;247
 ; ;2008;;
 ; ; ;Moški;363
 ; ; ;Ženske;324
 ; ;2009;;
 ; ; ;Moški;403
 ; ; ;Ženske;349
 ; ;2010;;
 ; ; ;Moški;285
 ; ; ;Ženske;225
 ; ;2011;;
 ; ; ;Moški;267
 ; ; ;Ženske;262
 ; ;2012;;
 ; ; ;Moški;332
 ; ; ;Ženske;288
 ; ;2013;;
 ; ; ;Moški;314
 ; ; ;Ženske;288
 ; ;2014;;
 ; ; ;Moški;343
 ; ; ;Ženske;297
 ; ;2015;;
 ; ; ;Moški;430
 ; ; ;Ženske;374
 ;10-14 let;;;
 ; ;2000;;
 ; ; ;Moški;81
 ; ; ;Ženske;65
 ; ;2001;;
 ; ; ;Moški;79
 ; ; ;Ženske;89
 ; ;2002;;
 ; ; ;Moški;90
 ; ; ;Ženske;103
 ; ;2003;;
 ; ; ;Moški;94
 ; ; ;Ženske;100
 ; ;2004;;
 ; ; ;Moški;109
 ; ; ;Ženske;98
 ; ;2005;;
 ; ; ;Moški;175
 ; ; ;Ženske;147
 ; ;2006;;
 ; ; ;Moški;198
 ; ; ;Ženske;166
 ; ;2007;;
 ; ; ;Moški;262
 ; ; ;Ženske;262
 ; ;2008;;
 ; ; ;Moški;346
 ; ; ;Ženske;283
 ; ;2009;;
 ; ; ;Moški;349
 ; ; ;Ženske;326
 ; ;2010;;
 ; ; ;Moški;232
 ; ; ;Ženske;204
 ; ;2011;;
 ; ; ;Moški;248
 ; ; ;Ženske;212
 ; ;2012;;
 ; ; ;Moški;271
 ; ; ;Ženske;240
 ; ;2013;;
 ; ; ;Moški;272
 ; ; ;Ženske;231
 ; ;2014;;
 ; ; ;Moški;291
 ; ; ;Ženske;248
 ; ;2015;;
 ; ; ;Moški;415
 ; ; ;Ženske;321
 ;15-19 let;;;
 ; ;2000;;
 ; ; ;Moški;178
 ; ; ;Ženske;129
 ; ;2001;;
 ; ; ;Moški;199
 ; ; ;Ženske;158
 ; ;2002;;
 ; ; ;Moški;290
 ; ; ;Ženske;170
 ; ;2003;;
 ; ; ;Moški;313
 ; ; ;Ženske;181
 ; ;2004;;
 ; ; ;Moški;453
 ; ; ;Ženske;201
 ; ;2005;;
 ; ; ;Moški;654
 ; ; ;Ženske;305
 ; ;2006;;
 ; ; ;Moški;900
 ; ; ;Ženske;316
 ; ;2007;;
 ; ; ;Moški;1100
 ; ; ;Ženske;403
 ; ;2008;;
 ; ; ;Moški;809
 ; ; ;Ženske;444
 ; ;2009;;
 ; ; ;Moški;762
 ; ; ;Ženske;428
 ; ;2010;;
 ; ; ;Moški;329
 ; ; ;Ženske;353
 ; ;2011;;
 ; ; ;Moški;350
 ; ; ;Ženske;301
 ; ;2012;;
 ; ; ;Moški;393
 ; ; ;Ženske;345
 ; ;2013;;
 ; ; ;Moški;406
 ; ; ;Ženske;342
 ; ;2014;;
 ; ; ;Moški;463
 ; ; ;Ženske;376
 ; ;2015;;
 ; ; ;Moški;537
 ; ; ;Ženske;414
 ;20-24 let;;;
 ; ;2000;;
 ; ; ;Moški;758
 ; ; ;Ženske;288
 ; ;2001;;
 ; ; ;Moški;929
 ; ; ;Ženske;500
 ; ;2002;;
 ; ; ;Moški;1034
 ; ; ;Ženske;547
 ; ;2003;;
 ; ; ;Moški;1089
 ; ; ;Ženske;536
 ; ;2004;;
 ; ; ;Moški;1270
 ; ; ;Ženske;477
 ; ;2005;;
 ; ; ;Moški;2030
 ; ; ;Ženske;658
 ; ;2006;;
 ; ; ;Moški;3140
 ; ; ;Ženske;647
 ; ;2007;;
 ; ; ;Moški;4535
 ; ; ;Ženske;832
 ; ;2008;;
 ; ; ;Moški;4134
 ; ; ;Ženske;880
 ; ;2009;;
 ; ; ;Moški;3946
 ; ; ;Ženske;1173
 ; ;2010;;
 ; ; ;Moški;1261
 ; ; ;Ženske;814
 ; ;2011;;
 ; ; ;Moški;876
 ; ; ;Ženske;744
 ; ;2012;;
 ; ; ;Moški;930
 ; ; ;Ženske;864
 ; ;2013;;
 ; ; ;Moški;854
 ; ; ;Ženske;745
 ; ;2014;;
 ; ; ;Moški;813
 ; ; ;Ženske;749
 ; ;2015;;
 ; ; ;Moški;874
 ; ; ;Ženske;776
 ;25-29 let;;;
 ; ;2000;;
 ; ; ;Moški;777
 ; ; ;Ženske;289
 ; ;2001;;
 ; ; ;Moški;900
 ; ; ;Ženske;423
 ; ;2002;;
 ; ; ;Moški;1040
 ; ; ;Ženske;470
 ; ;2003;;
 ; ; ;Moški;1050
 ; ; ;Ženske;470
 ; ;2004;;
 ; ; ;Moški;1226
 ; ; ;Ženske;443
 ; ;2005;;
 ; ; ;Moški;1880
 ; ; ;Ženske;610
 ; ;2006;;
 ; ; ;Moški;2723
 ; ; ;Ženske;591
 ; ;2007;;
 ; ; ;Moški;4246
 ; ; ;Ženske;846
 ; ;2008;;
 ; ; ;Moški;4348
 ; ; ;Ženske;1014
 ; ;2009;;
 ; ; ;Moški;4402
 ; ; ;Ženske;1148
 ; ;2010;;
 ; ; ;Moški;1644
 ; ; ;Ženske;851
 ; ;2011;;
 ; ; ;Moški;1168
 ; ; ;Ženske;889
 ; ;2012;;
 ; ; ;Moški;1332
 ; ; ;Ženske;908
 ; ;2013;;
 ; ; ;Moški;1212
 ; ; ;Ženske;838
 ; ;2014;;
 ; ; ;Moški;1047
 ; ; ;Ženske;824
 ; ;2015;;
 ; ; ;Moški;1251
 ; ; ;Ženske;879
 ;30-34 let;;;
 ; ;2000;;
 ; ; ;Moški;578
 ; ; ;Ženske;210
 ; ;2001;;
 ; ; ;Moški;700
 ; ; ;Ženske;288
 ; ;2002;;
 ; ; ;Moški;826
 ; ; ;Ženske;327
 ; ;2003;;
 ; ; ;Moški;875
 ; ; ;Ženske;326
 ; ;2004;;
 ; ; ;Moški;1055
 ; ; ;Ženske;265
 ; ;2005;;
 ; ; ;Moški;1524
 ; ; ;Ženske;448
 ; ;2006;;
 ; ; ;Moški;2098
 ; ; ;Ženske;477
 ; ;2007;;
 ; ; ;Moški;3457
 ; ; ;Ženske;668
 ; ;2008;;
 ; ; ;Moški;3354
 ; ; ;Ženske;842
 ; ;2009;;
 ; ; ;Moški;3408
 ; ; ;Ženske;932
 ; ;2010;;
 ; ; ;Moški;1264
 ; ; ;Ženske;655
 ; ;2011;;
 ; ; ;Moški;1074
 ; ; ;Ženske;695
 ; ;2012;;
 ; ; ;Moški;1236
 ; ; ;Ženske;707
 ; ;2013;;
