"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" "
" ";" ";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"EVROPA";4303;1705;5141;2318;6054;2763;6015;2848;7311;2539;10927;3719;15541;4079;23338;5241;23447;6475;22506;6890;9498;5233;8030;5529;8802;5683;8167;5155;7960;5374;8872;5907;10023;5913
" ";"  Albanija";2;2;14;6;16;7;19;7;9;3;15;3;18;3;13;3;14;3;25;9;6;4;2;5;4;15;5;6;3;7;5;13;1;10
" ";"  Avstrija";17;8;27;21;18;9;18;15;16;13;82;63;62;32;65;37;86;50;68;39;59;30;70;23;66;27;34;19;45;20;34;18;47;27
" ";"  Belgija";1;1;5;6;5;6;12;5;4;0;17;11;6;2;9;6;9;6;10;5;14;9;10;5;8;7;8;4;13;1;5;2;9;5
" ";"  Bolgarija";8;4;6;6;13;10;24;13;40;8;24;16;60;19;716;74;403;81;412;127;455;151;530;197;539;203;521;164;679;130;522;140;592;151
" ";"  Bosna in Hercegovina";1726;290;2008;352;2014;517;1614;491;2480;486;3718;589;7010;861;11225;1254;11459;1579;10846;2064;3112;1291;2152;1235;2616;1429;2390;1456;2034;1342;2958;1736;3250;1561
" ";"  Èeška republika";8;12;7;21;11;7;12;13;1;8;16;46;13;38;20;25;13;31;13;20;11;32;12;19;13;12;7;13;15;29;14;16;6;21
" ";"  Èrna gora";...;...;...;...;...;...;...;...;...;...;...;...;...;...;43;40;69;65;71;42;43;44;35;45;35;41;28;48;44;32;46;21;26;26
" ";"  Danska";0;0;0;0;8;1;8;2;6;2;11;6;5;1;5;7;4;0;6;5;3;2;2;2;5;1;2;1;2;2;2;1;4;3
" ";"  Francija";12;16;15;9;22;19;37;21;17;15;79;61;98;31;53;27;45;33;44;24;50;22;36;30;44;19;62;30;29;15;28;22;45;29
" ";"  Hrvaška";625;281;744;358;911;396;949;333;478;320;612;380;708;438;932;468;1055;542;996;446;567;361;585;360;784;328;878;319;684;380;539;307;722;373
" ";"  Italija";19;16;60;30;64;21;39;32;17;12;137;53;104;46;184;80;198;100;176;95;208;124;201;118;295;142;300;129;320;161;384;144;395;164
" ";"  Kosovo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1784;385;2917;659;1350;538;701;529;726;633;483;569;626;673;699;832;684;799
" ";"  Madžarska";5;2;15;8;14;13;6;20;3;5;45;23;32;25;33;22;57;29;24;23;63;18;23;25;40;39;50;40;92;33;78;47;149;34
" ";"  Makedonija";725;151;720;329;894;323;1100;459;990;261;1293;385;1624;473;2468;695;2349;847;2205;782;680;465;544;472;532;548;382;440;343;402;324;385;397;465
" ";"  Nemèija";25;23;42;36;23;18;31;25;23;20;151;106;94;61;137;84;141;109;104;79;93;67;105;66;127;70;75;48;74;58;57;37;76;44
" ";"  Nizozemska";3;2;13;9;16;5;19;5;4;1;33;18;19;12;21;10;14;12;25;9;21;4;22;12;23;5;18;6;13;6;12;3;12;6
" ";"  Poljska";2;4;33;11;8;5;8;9;3;8;98;53;73;33;77;42;28;28;39;38;11;23;13;28;36;42;42;16;37;19;16;18;12;31
" ";"  Romunija";6;19;33;20;31;18;25;18;75;49;189;114;202;121;152;47;88;53;28;41;39;44;57;28;44;36;157;36;85;38;45;22;103;33
" ";"  Ruska federacija";16;42;52;79;53;82;21;91;19;43;34;54;15;48;45;67;53;79;58;107;43;67;56;82;112;129;171;170;240;252;303;336;277;247
" ";"  Slovenija";509;426;547;483;793;639;694;574;936;638;1037;710;1025;740;920;769;1515;1116;1657;1246;1553;1158;1781;1537;1540;1201;1306;944;1413;1122;1612;1143;1653;1210
" ";"  Srbija";405;255;579;301;849;372;1075;424;1948;423;2750;574;3812;635;5462;906;3579;783;2368;539;720;369;832;342;928;412;987;427;877;389;886;365;1222;375
" ";"  Švedska";4;1;7;2;12;6;10;4;1;0;14;5;16;14;24;12;10;4;12;5;18;13;15;4;6;6;9;5;7;7;9;3;10;4
" ";"  Švica";7;3;12;10;3;8;13;5;4;5;3;6;5;12;13;11;11;12;7;6;5;4;7;5;8;6;5;3;11;2;5;4;9;5
" ";"  Ukrajina";84;108;78;153;66;203;98;149;166;175;129;243;141;216;197;274;152;288;113;241;68;193;47;156;82;141;73;109;104;119;134;169;158;147
" ";"  Združeno kraljestvo";13;7;24;12;12;8;22;17;10;1;79;35;46;33;92;54;83;51;72;45;71;46;46;31;68;34;42;20;48;22;47;25;51;38
" ";"  Druge države Evrope";81;32;100;56;198;70;161;116;61;43;361;165;353;185;432;227;228;189;210;194;235;154;146;173;121;157;132;133;122;113;108;98;113;105
" ";"AFRIKA";7;1;12;0;13;5;18;6;19;9;21;10;20;12;20;15;46;17;39;16;59;15;53;10;57;11;50;17;63;23;62;20;53;17
" ";"AZIJA";40;44;90;84;81;77;99;97;99;91;105;112;103;94;199;160;166;191;307;257;167;163;138;138;163;143;165;141;143;135;197;175;246;190
" ";"JUŽNA AMERIKA";4;11;9;13;14;18;22;24;11;7;10;10;6;18;13;19;16;22;20;25;15;23;25;23;15;21;12;25;12;17;13;31;22;25
" ";"SEVERNA IN SREDNJA AMERIKA";27;21;54;58;37;44;46;46;39;37;53;52;64;54;66;85;70;125;71;120;65;113;64;62;54;57;61;63;58;54;65;70;65;56
" ";"  Kanada";2;3;6;1;2;2;4;4;2;3;4;4;7;7;8;8;12;10;8;6;3;8;8;6;8;2;2;2;4;3;4;7;12;4
" ";"  Združene države";24;15;44;47;30;31;32;23;29;20;40;28;46;32;51;35;45;38;41;21;42;37;35;17;28;28;45;31;39;35;48;44;40;36
" ";"  Druge države Severne in Srednje Amerike";1;3;4;10;5;11;10;19;8;14;9;20;11;15;7;42;13;77;22;93;20;68;21;39;18;27;14;30;15;16;13;19;13;16
" ";"AVSTRALIJA IN OCEANIJA";7;5;13;7;2;4;12;7;6;3;12;6;11;6;12;6;14;6;16;7;11;6;7;4;11;5;10;5;6;1;6;2;8;5
" ";"Neznana država";9;1;2;2;15;7;17;22;0;0;2;2;5;3;11;8;56;42;14;8;26;22;0;0;0;0;0;0;0;0;0;0;0;0
"Odseljeni v tujino"
" ";"EVROPA";2278;1137;3369;1241;4488;2562;3315;2319;5909;2136;6557;1880;10585;2922;10470;4017;8091;3824;14643;3792;11261;3942;7950;3719;8516;5537;7756;5320;8425;5577;8796;5793;9135;6089
" ";"  Albanija";16;6;9;3;21;8;17;11;18;1;15;1;13;2;8;4;2;1;9;1;8;3;9;4;5;3;1;6;3;4;3;0;3;5
