Meddržavne selitve po: SELITVE, DRŽAVLJANSTVO, LETO , STATISTIÈNA REGIJA;;;;
;;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine;Državljani RS;;;
Priseljeni iz tujine;Državljani RS;2000;;
Priseljeni iz tujine;Državljani RS;2000;Pomurska;47
Priseljeni iz tujine;Državljani RS;2000;Podravska;161
 ; ; ;Koroška;19
 ; ; ;Savinjska;119
 ; ; ;Zasavska;12
 ; ; ;Posavska;37
 ; ; ;Jugovzhodna Slovenija;39
 ; ; ;Osrednjeslovenska;284
 ; ; ;Gorenjska;94
 ; ; ;Primorsko-kraška;31
 ; ; ;Goriška;39
 ; ; ;Obalno-kraška;53
 ; ;2001;;
 ; ; ;Pomurska;45
 ; ; ;Podravska;172
 ; ; ;Koroška;11
 ; ; ;Savinjska;127
 ; ; ;Zasavska;21
 ; ; ;Posavska;45
 ; ; ;Jugovzhodna Slovenija;65
 ; ; ;Osrednjeslovenska;312
 ; ; ;Gorenjska;77
 ; ; ;Primorsko-kraška;42
 ; ; ;Goriška;42
 ; ; ;Obalno-kraška;71
 ; ;2002;;
 ; ; ;Pomurska;84
 ; ; ;Podravska;227
 ; ; ;Koroška;20
 ; ; ;Savinjska;166
 ; ; ;Zasavska;25
 ; ; ;Posavska;53
 ; ; ;Jugovzhodna Slovenija;90
 ; ; ;Osrednjeslovenska;404
 ; ; ;Gorenjska;141
 ; ; ;Primorsko-kraška;38
 ; ; ;Goriška;76
 ; ; ;Obalno-kraška;108
 ; ;2003;;
 ; ; ;Pomurska;54
 ; ; ;Podravska;169
 ; ; ;Koroška;31
 ; ; ;Savinjska;125
 ; ; ;Zasavska;17
 ; ; ;Posavska;59
 ; ; ;Jugovzhodna Slovenija;76
 ; ; ;Osrednjeslovenska;392
 ; ; ;Gorenjska;148
 ; ; ;Primorsko-kraška;52
 ; ; ;Goriška;64
 ; ; ;Obalno-kraška;81
 ; ;2004;;
 ; ; ;Pomurska;84
 ; ; ;Podravska;214
 ; ; ;Koroška;40
 ; ; ;Savinjska;153
 ; ; ;Zasavska;22
 ; ; ;Posavska;82
 ; ; ;Jugovzhodna Slovenija;92
 ; ; ;Osrednjeslovenska;526
 ; ; ;Gorenjska;153
 ; ; ;Primorsko-kraška;44
 ; ; ;Goriška;45
 ; ; ;Obalno-kraška;119
 ; ;2005;;
 ; ; ;Pomurska;98
 ; ; ;Podravska;289
 ; ; ;Koroška;40
 ; ; ;Savinjska;181
 ; ; ;Zasavska;24
 ; ; ;Posavska;66
 ; ; ;Jugovzhodna Slovenija;111
 ; ; ;Osrednjeslovenska;538
 ; ; ;Gorenjska;170
 ; ; ;Primorsko-kraška;41
 ; ; ;Goriška;68
 ; ; ;Obalno-kraška;121
 ; ;2006;;
 ; ; ;Pomurska;89
 ; ; ;Podravska;334
 ; ; ;Koroška;34
 ; ; ;Savinjska;180
 ; ; ;Zasavska;26
 ; ; ;Posavska;53
 ; ; ;Jugovzhodna Slovenija;95
 ; ; ;Osrednjeslovenska;569
 ; ; ;Gorenjska;174
 ; ; ;Primorsko-kraška;39
 ; ; ;Goriška;46
 ; ; ;Obalno-kraška;126
 ; ;2007;;
 ; ; ;Pomurska;106
 ; ; ;Podravska;315
 ; ; ;Koroška;28
 ; ; ;Savinjska;219
 ; ; ;Zasavska;30
 ; ; ;Posavska;81
 ; ; ;Jugovzhodna Slovenija;90
 ; ; ;Osrednjeslovenska;428
 ; ; ;Gorenjska;162
 ; ; ;Primorsko-kraška;32
 ; ; ;Goriška;69
 ; ; ;Obalno-kraška;129
 ; ;2008;;
 ; ; ;Pomurska;132
 ; ; ;Podravska;426
 ; ; ;Koroška;53
 ; ; ;Savinjska;231
 ; ; ;Zasavska;45
 ; ; ;Posavska;89
 ; ; ;Jugovzhodna Slovenija;144
 ; ; ;Osrednjeslovenska;868
 ; ; ;Gorenjska;229
 ; ; ;Primorsko-kraška;85
 ; ; ;Goriška;111
 ; ; ;Obalno-kraška;218
 ; ;2009;;
 ; ; ;Pomurska;151
 ; ; ;Podravska;431
 ; ; ;Koroška;46
 ; ; ;Savinjska;277
 ; ; ;Zasavska;39
 ; ; ;Posavska;116
 ; ; ;Jugovzhodna Slovenija;177
 ; ; ;Osrednjeslovenska;870
 ; ; ;Gorenjska;314
 ; ; ;Primorsko-kraška;87
 ; ; ;Goriška;138
 ; ; ;Obalno-kraška;257
 ; ;2010;;
 ; ; ;Pomurska;156
 ; ; ;Podravska;391
 ; ; ;Koroška;96
 ; ; ;Savinjska;274
 ; ; ;Zasavska;35
 ; ; ;Posavska;90
 ; ; ;Jugovzhodna Slovenija;134
 ; ; ;Osrednjeslovenska;809
 ; ; ;Gorenjska;280
 ; ; ;Primorsko-kraška;65
 ; ; ;Goriška;140
 ; ; ;Obalno-kraška;241
 ; ;2011;;
 ; ; ;Pomurska;194
 ; ; ;Podravska;523
 ; ; ;Koroška;63
 ; ; ;Savinjska;308
 ; ; ;Zasavska;30
 ; ; ;Posavska;95
 ; ; ;Jugovzhodna Slovenija;173
 ; ; ;Osrednjeslovenska;1124
 ; ; ;Gorenjska;348
 ; ; ;Primorsko-kraška;78
 ; ; ;Goriška;128
 ; ; ;Obalno-kraška;254
 ; ;2012;;
 ; ; ;Pomurska;176
 ; ; ;Podravska;457
 ; ; ;Koroška;65
 ; ; ;Savinjska;298
 ; ; ;Zasavska;32
 ; ; ;Posavska;89
 ; ; ;Jugovzhodna Slovenija;146
 ; ; ;Osrednjeslovenska;811
 ; ; ;Gorenjska;270
 ; ; ;Primorsko-kraška;58
 ; ; ;Goriška;125
 ; ; ;Obalno-kraška;214
 ; ;2013;;
 ; ; ;Pomurska;105
 ; ; ;Podravska;352
 ; ; ;Koroška;51
 ; ; ;Savinjska;243
 ; ; ;Zasavska;29
 ; ; ;Posavska;83
 ; ; ;Jugovzhodna Slovenija;117
 ; ; ;Osrednjeslovenska;700
 ; ; ;Gorenjska;216
 ; ; ;Primorsko-kraška;66
 ; ; ;Goriška;110
 ; ; ;Obalno-kraška;178
 ; ;2014;;
 ; ; ;Pomurska;175
 ; ; ;Podravska;397
 ; ; ;Koroška;69
 ; ; ;Savinjska;241
 ; ; ;Zasavska;27
 ; ; ;Posavska;101
 ; ; ;Jugovzhodna Slovenija;115
 ; ; ;Osrednjeslovenska;760
 ; ; ;Gorenjska;244
 ; ; ;Primorsko-kraška;75
 ; ; ;Goriška;104
 ; ; ;Obalno-kraška;227
 ; ;2015;;
 ; ; ;Pomurska;147
 ; ; ;Podravska;460
 ; ; ;Koroška;80
 ; ; ;Savinjska;256
 ; ; ;Zasavska;52
 ; ; ;Posavska;96
 ; ; ;Jugovzhodna Slovenija;137
 ; ; ;Osrednjeslovenska;835
 ; ; ;Gorenjska;288
 ; ; ;Primorsko-kraška;68
 ; ; ;Goriška;125
 ; ; ;Obalno-kraška;211
 ;Tuji državljani;;;
 ; ;2000;;
 ; ; ;Pomurska;83
 ; ; ;Podravska;494
 ; ; ;Koroška;68
 ; ; ;Savinjska;757
 ; ; ;Zasavska;96
 ; ; ;Posavska;350
 ; ; ;Jugovzhodna Slovenija;243
 ; ; ;Osrednjeslovenska;1800
 ; ; ;Gorenjska;294
 ; ; ;Primorsko-kraška;130
 ; ; ;Goriška;407
 ; ; ;Obalno-kraška;528
 ; ;2001;;
 ; ; ;Pomurska;83
 ; ; ;Podravska;772
 ; ; ;Koroška;66
 ; ; ;Savinjska;1062
 ; ; ;Zasavska;141
 ; ; ;Posavska;257
 ; ; ;Jugovzhodna Slovenija;362
 ; ; ;Osrednjeslovenska;2321
 ; ; ;Gorenjska;469
 ; ; ;Primorsko-kraška;153
 ; ; ;Goriška;407
 ; ; ;Obalno-kraška;680
 ; ;2002;;
 ; ; ;Pomurska;112
 ; ; ;Podravska;595
 ; ; ;Koroška;84
 ; ; ;Savinjska;1414
 ; ; ;Zasavska;191
 ; ; ;Posavska;567
 ; ; ;Jugovzhodna Slovenija;482
